1,2,3,4,5,6,7
1.410539865,0.991835415,0.010073176,-1.071941018,-0.156660706,-0.414689571,-0.279109001
-1.674955606,-1.368854165,0.156553581,-0.103673495,-0.938381612,0.587434053,-0.048022181
-1.339530587,1.380475402,0.044615805,-0.103019938,-0.822918892,0.347398847,-0.131441057
1.373527765,-1.378018856,0.071947612,0.685379863,-0.314902067,0.440602303,0.279279709
1.815399408,-1.415694118,0.341520011,-0.292507946,0.129825026,0.080863118,-0.057028785
-1.30588913,-1.288511276,-0.020770609,-0.037245899,-1.014734507,-0.05353643,-0.165554613
1.737231135,-0.745285869,0.463556468,0.351561993,-0.220362335,0.239768118,0.451139361
-1.014097095,-0.439616919,-1.145082235,-0.358243763,0.051951997,0.248477787,0.573922098
-0.871035516,-0.928415954,0.230885297,0.291580319,0.646936774,-0.220639944,-0.140898228
-1.342251897,0.786251009,-0.211968064,1.327060461,0.105547428,-0.022285551,-0.144454449
1.753440976,1.558580637,0.498958439,-0.713558733,0.811542749,0.144142106,-0.007124215
1.593922853,0.392976522,0.072369203,0.057576716,-0.054438993,-0.460461468,-0.101472475
1.473188519,0.996390164,0.335753709,-1.000473738,0.083916277,-0.427506298,-0.320431381
-1.686532021,-1.364697933,0.378981143,0.099100806,-0.747918963,0.004586652,-0.059250474
-1.28158164,1.391420364,0.1287729,-0.150278658,-0.338805288,-0.16909349,0.134516194
1.355236292,-1.398299336,-0.039545238,0.656602442,-0.413249075,0.4407686,-0.430620909
1.86380887,-1.430343986,0.529457927,0.277032048,0.323997647,0.376841635,0.037349202
-1.265023708,-1.28319335,-0.004728869,-0.246719137,-0.711879134,-0.137796342,-0.392296791
1.741183162,-0.738603413,0.770703495,0.493590266,-0.26152423,-0.040833801,0.268831432
-0.978363335,-0.441528976,-1.251844525,-0.510894835,0.394009173,0.196364492,-0.09196192
-0.840123475,-0.919466555,0.164517611,0.413315654,0.511668563,-0.023726016,-0.53465414
-1.404953599,0.766317546,0.008213058,1.413826942,-0.107280135,0.185591668,-0.286933869
1.798415184,1.603925586,0.025851779,-0.423558027,0.539209366,0.084157005,0.208858401
1.559348464,0.369321406,-0.048262984,0.158620059,-0.195641905,-0.246491343,-0.345599651
2.26834774,1.083244205,-0.049456347,-0.51700443,0.339614689,0.213674664,-0.04935047
-1.815026641,-1.292016625,0.106690273,0.891605079,-0.715872765,-0.000623181,-0.017029136
-0.504493833,1.596103191,0.011051819,0.198663443,-0.563035786,0.20088397,-0.228487357
1.09392643,-1.772305727,0.143113166,-1.703706503,0.302279443,0.390024304,-0.547016799
2.481620312,-1.700973272,0.414624691,0.058614511,0.037946545,-0.113935143,0.007511072
-0.712601781,-1.187834501,0.032782212,0.662331164,-0.828983903,-0.289825022,0.208904356
1.774403095,-0.618992507,0.393847108,1.512025476,0.189816207,0.00435859,0.492238015
-0.493811011,-0.47631216,-1.247997165,-0.125233248,-0.00130425,0.054662127,0.520002186
-0.427046597,-0.755380571,0.190576375,-0.373399734,0.608707547,-0.012159452,-0.401997626
-2.200344324,0.400378883,-0.232906714,-0.701298416,-0.671469271,0.274594575,0.142873064
2.362239361,2.438352823,0.44951424,-1.128334641,0.227962494,0.071700126,-0.156067088
1.078432202,-0.062909216,-0.062159777,0.043729603,-0.223376334,-0.328122705,0.023231462
2.27586627,1.090776086,0.528282702,-1.144964337,-0.054442734,-0.042436212,-0.204073906
-1.810052276,-1.284075975,-0.137082592,-0.119963303,-0.994040728,-0.095783353,-0.157776639
-0.478565365,1.612817764,-0.259271085,-0.139226913,-1.149391055,-0.018885329,-0.146566674
1.07851243,-1.804582119,-0.038161721,0.413260609,0.148799062,0.251209199,-0.742943645
2.49194932,-1.722843647,0.11268305,-0.470623016,-0.205345869,0.481989145,0.218254983
-0.69274044,-1.179011345,-0.001444981,-0.102300808,-1.113057613,-0.09594509,-0.077961721
1.769760489,-0.608010769,0.880731344,0.718514919,0.212827355,-0.07774204,-0.025719076
-0.476157665,-0.478962421,-1.234640002,-0.374099374,-0.372248828,0.235123947,0.192155331
-0.414371639,-0.740513265,-0.254440129,0.348679066,0.776372194,-0.102476679,-0.609931111
-2.208834171,0.367846906,-0.082312308,1.114564657,-0.275409758,0.173275083,-0.126496434
2.367645264,2.509508133,-0.032977507,-0.693746328,0.815762877,-0.038094901,0.186970174
1.055832982,-0.10088072,0.236471042,0.49873957,-0.003317371,-0.323077381,-0.06664066
2.27597928,1.129503131,0.663896382,-1.055441141,-0.071262181,-0.080823988,0.148003131
-1.756204844,-1.196799994,0.028789192,0.039668091,-0.61801815,-0.110270396,0.184857383
-0.323214114,1.683779478,0.29636848,-0.277291507,-0.145170495,-0.010274071,-0.197131634
0.970144272,-1.988421679,0.127381265,0.645391762,-0.476793289,0.617129266,-0.196575969
2.527687788,-1.825014114,0.702491343,0.410442054,0.508656144,0.352732837,0.121129446
-0.57063657,-1.106656551,-0.437810659,-0.185538799,-0.594160318,-0.387828052,0.143050537
1.726206541,-0.516647279,0.715281069,0.638880312,-0.304884583,-0.122684166,0.521533072
-0.366604149,-0.481838405,-0.95661366,-0.408142269,0.402242362,0.345580786,0.575712204
-0.341353148,-0.63076973,0.134280637,0.325886905,0.411751449,-0.253401309,-0.384074807
-2.216530561,0.14330706,-0.02957809,1.403941751,-0.02483809,0.214299649,0.0410133
2.366586685,2.917867184,-0.228885114,-0.250856608,0.57066828,0.133076921,-0.139437705
0.903915823,-0.347375393,0.040657237,0.28815046,-0.311138809,-0.426409781,-0.235387698
2.272007704,1.130340219,0.299042702,1.283722043,-0.119041786,0.139696538,-0.308165997
-1.747717977,-1.183726549,0.531043231,0.778631628,-0.819972157,0.308045626,0.085717097
-0.305350006,1.682265759,-0.31021148,1.317045093,-0.911381066,0.34376207,0.211201549
0.956235051,-1.997422218,0.065825172,-0.203577638,0.261080682,0.123422295,-0.508509934
2.529435635,-1.825353861,0.198319525,-0.055322587,-0.182339013,-0.194148004,0.092219487
-0.556348324,-1.09847641,0.089339286,-0.573975086,-0.747745275,0.199149042,-0.498215616
1.71967566,-0.506395757,0.363731235,-0.384327978,0.895599008,0.192141056,0.074827611
-0.353685498,-0.479517192,-1.496067643,0.953809619,-0.761586547,0.574115753,-0.004254874
