1,2,3,4,5,6,a,b,c,d,e,f
22.653563,21.821281,21.52813,21.419991,19.576843,20.50552,0,0,0,0,0.000838816,0
22.653563,21.821281,21.52813,21.419991,19.576843,20.50552,0,0,0,0,0.000838816,0
22.661425,21.829298,21.534573,21.426279,19.575274,20.509762,0.000480697,0.00048887,0.000399257,0.000436935,0,0.000577849
22.661425,21.829298,21.534573,21.426279,19.575274,20.509762,0.000480697,0.00048887,0.000399257,0.000436935,0,0.000577849
22.661425,21.829298,21.534573,21.426279,19.575274,20.509762,0.000480697,0.00048887,0.000399257,0.000436935,0,0.000577849
22.667084,21.833698,21.540703,21.43178,19.576687,20.513533,0.000826699,0.000757178,0.000779118,0.000819183,0.000755415,0.001091538
22.667084,21.833698,21.540703,21.43178,19.576687,20.513533,0.000826699,0.000757178,0.000779118,0.000819183,0.000755415,0.001091538
22.667084,21.833698,21.540703,21.43178,19.576687,20.513533,0.000826699,0.000757178,0.000779118,0.000819183,0.000755415,0.001091538
22.667084,21.833698,21.540703,21.43178,19.576687,20.513533,0.000826699,0.000757178,0.000779118,0.000819183,0.000755415,0.001091538
22.674631,21.841087,21.546989,21.436966,19.577944,20.517462,0.001288136,0.001207753,0.001168646,0.001179543,0.00142743,0.00162675
22.674631,21.841087,21.546989,21.436966,19.577944,20.517462,0.001288136,0.001207753,0.001168646,0.001179543,0.00142743,0.00162675
22.674631,21.841087,21.546989,21.436966,19.577944,20.517462,0.001288136,0.001207753,0.001168646,0.001179543,0.00142743,0.00162675
22.681864,21.846903,21.552177,21.442152,19.577629,20.520132,0.001730375,0.001562407,0.001490133,0.001539903,0.001259026,0.00199046
22.681864,21.846903,21.552177,21.442152,19.577629,20.520132,0.001730375,0.001562407,0.001490133,0.001539903,0.001259026,0.00199046
22.681864,21.846903,21.552177,21.442152,19.577629,20.520132,0.001730375,0.001562407,0.001490133,0.001539903,0.001259026,0.00199046
22.687996,21.852562,21.558622,21.449697,19.577473,20.527046,0.002105296,0.001907488,0.001889514,0.002064183,0.001175625,0.002932291
22.687996,21.852562,21.558622,21.449697,19.577473,20.527046,0.002105296,0.001907488,0.001889514,0.002064183,0.001175625,0.002932291
22.687996,21.852562,21.558622,21.449697,19.577473,20.527046,0.002105296,0.001907488,0.001889514,0.002064183,0.001175625,0.002932291
22.696644,21.860107,21.565538,21.454256,19.57873,20.530504,0.002634051,0.002367576,0.002318081,0.002380975,0.00184764,0.003403343
22.696644,21.860107,21.565538,21.454256,19.57873,20.530504,0.002634051,0.002367576,0.002318081,0.002380975,0.00184764,0.003403343
22.696644,21.860107,21.565538,21.454256,19.57873,20.530504,0.002634051,0.002367576,0.002318081,0.002380975,0.00184764,0.003403343
22.703249,21.86451,21.568838,21.46117,19.5781,20.535847,0.003037893,0.002636067,0.002522574,0.002861408,0.001510831,0.004131171
22.703249,21.86451,21.568838,21.46117,19.5781,20.535847,0.003037893,0.002636067,0.002522574,0.002861408,0.001510831,0.004131171
22.703249,21.86451,21.568838,21.46117,19.5781,20.535847,0.003037893,0.002636067,0.002522574,0.002861408,0.001510831,0.004131171
22.703249,21.86451,21.568838,21.46117,19.5781,20.535847,0.003037893,0.002636067,0.002522574,0.002861408,0.001510831,0.004131171
22.712053,21.872997,21.576698,21.464943,19.579044,20.542603,0.003576185,0.003153597,0.003009639,0.003123583,0.00201551,0.00505148
22.712053,21.872997,21.576698,21.464943,19.579044,20.542603,0.003576185,0.003153597,0.003009639,0.003123583,0.00201551,0.00505148
22.712053,21.872997,21.576698,21.464943,19.579044,20.542603,0.003576185,0.003153597,0.003009639,0.003123583,0.00201551,0.00505148
22.718657,21.877871,21.582827,21.47233,19.57873,20.545588,0.003979966,0.003450809,0.003389438,0.003636884,0.00184764,0.005458099
22.718657,21.877871,21.582827,21.47233,19.57873,20.545588,0.003979966,0.003450809,0.003389438,0.003636884,0.00184764,0.005458099
22.74869,21.90255,21.60499,21.494493,19.57873,20.567743,0.005816238,0.004955713,0.004762824,0.005176926,0.00184764,0.008476074
22.74869,21.90255,21.60499,21.494493,19.57873,20.567743,0.005816238,0.004955713,0.004762824,0.005176926,0.00184764,0.008476074
22.755136,21.909309,21.61112,21.500309,19.579357,20.573559,0.006210358,0.005367871,0.005142685,0.005581063,0.002182846,0.009268334
22.755136,21.909309,21.61112,21.500309,19.579357,20.573559,0.006210358,0.005367871,0.005142685,0.005581063,0.002182846,0.009268334
22.755136,21.909309,21.61112,21.500309,19.579357,20.573559,0.006210358,0.005367871,0.005142685,0.005581063,0.002182846,0.009268334
22.76111,21.915127,21.618195,21.505966,19.579357,20.581257,0.00657562,0.005722648,0.005581105,0.005974151,0.002182846,0.010316963
22.76111,21.915127,21.618195,21.505966,19.579357,20.581257,0.00657562,0.005722648,0.005581105,0.005974151,0.002182846,0.010316963
22.76111,21.915127,21.618195,21.505966,19.579357,20.581257,0.00657562,0.005722648,0.005581105,0.005974151,0.002182846,0.010316963
22.770388,21.919685,21.624481,21.512096,19.580143,20.587385,0.007142893,0.006000591,0.005970633,0.006400107,0.002603056,0.011151725
22.770388,21.919685,21.624481,21.512096,19.580143,20.587385,0.007142893,0.006000591,0.005970633,0.006400107,0.002603056,0.011151725
22.770388,21.919685,21.624481,21.512096,19.580143,20.587385,0.007142893,0.006000591,0.005970633,0.006400107,0.002603056,0.011151725
22.776205,21.926445,21.63014,21.518856,19.579828,20.593987,0.007498555,0.00641281,0.006321307,0.006869839,0.002434651,0.012051055
22.776205,21.926445,21.63014,21.518856,19.579828,20.593987,0.007498555,0.00641281,0.006321307,0.006869839,0.002434651,0.012051055
